Number of frames: 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency: 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units: mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frame,Marker_1 x,Marker_1 y,Marker_1 z,Marker_2 x,Marker_2 y,Marker_2 z,Marker_3 x,Marker_3 y,Marker_3 z,Marker_4 x,Marker_4 y,Marker_4 z,Marker_5 x,Marker_5 y,Marker_5 z,Marker_6 x,Marker_6 y,Marker_6 z,Marker_7 x,Marker_7 y,Marker_7 z,Marker_8 x,Marker_8 y,Marker_8 z,Marker_9 x,Marker_9 y,Marker_9 z,Marker_10 x,Marker_10 y,Marker_10 z
52,-187.854187,846.1958008,-3092.845459,-195.5472565,873.5460815,-3081.671387,-137.0510712,859.1993408,-3066.998779,-119.8970261,872.7299805,-3056.061523,-59.36074448,877.93573,-3038.457764,-72.48709106,859.5726929,-3068.351318,-171.0092926,693.583252,-2952.735596,-161.1803741,729.1339111,-2986.367188,-209.7753906,731.3309937,-2997.958252,-219.4177551,695.6842651,-2964.431396
53,-187.8518677,846.1940308,-3092.831787,-195.5413818,873.5428467,-3081.663818,-137.0508881,859.2050781,-3067.015381,-119.8974152,872.7336426,-3056.068115,-59.36251068,877.9385986,-3038.459473,-72.48465729,859.5723267,-3068.346191,-171.0410919,693.5651855,-2952.733887,-161.2040405,729.1193848,-2986.359863,-209.7944031,731.3209839,-2997.964844,-219.4495087,695.6691895,-2964.441162
54,-187.8535919,846.2015381,-3092.856445,-195.5433807,873.5410767,-3081.666504,-137.0546722,859.2046509,-3067.011719,-119.89888,872.7305298,-3056.064453,-59.36325073,877.9400024,-3038.468262,-72.48262024,859.5702515,-3068.348877,-171.0630493,693.5429688,-2952.769531,-161.2208252,729.1049194,-2986.391113,-209.812027,731.307312,-2997.959961,-219.4717865,695.6509399,-2964.456055
55,-187.8593597,846.2009888,-3092.861328,-195.5469055,873.5471191,-3081.687012,-137.0533142,859.1975708,-3066.997559,-119.8975296,872.7289429,-3056.05957,-59.3661499,877.9389038,-3038.469971,-72.48419952,859.5701294,-3068.352295,-171.0719604,693.5186157,-2952.810303,-161.22966,729.0852661,-2986.419434,-209.8230438,731.2985229,-2997.985107,-219.4798584,695.6316528,-2964.473877
56,-187.860611,846.2024536,-3092.855957,-195.5445862,873.5464478,-3081.679443,-137.0535431,859.2010498,-3067.021729,-119.8995667,872.7327881,-3056.073486,-59.36385346,877.9359741,-3038.464355,-72.4859314,859.574707,-3068.366699,-171.0706635,693.4833374,-2952.858887,-161.2338257,729.0633545,-2986.45752,-209.8251495,731.2810669,-2998.01416,-219.4808655,695.6067505,-2964.525146
57,-187.858429,846.2053833,-3092.862061,-195.5421143,873.5457764,-3081.679443,-137.0558167,859.199646,-3067.023926,-119.9011154,872.7249146,-3056.057861,-59.36439133,877.9332886,-3038.463135,-72.48399353,859.5720825,-3068.363281,-171.0645447,693.4300537,-2952.91626,-161.2288513,729.0287476,-2986.512939,-209.8249054,731.2539673,-2998.059082,-219.4761505,695.5646973,-2964.582764
58,-187.8562622,846.2035522,-3092.869873,-195.5426331,873.5426025,-3081.68335,-137.0563202,859.2014771,-3067.032715,-119.9012299,872.7251587,-3056.07666,-59.36483002,877.9321899,-3038.46875,-72.48497009,859.5678101,-3068.356201,-171.058609,693.3534546,-2952.983887,-161.2233887,728.9678955,-2986.551514,-209.82547,731.2089233,-2998.100098,-219.4723663,695.4990845,-2964.643311
59,-187.8596191,846.204834,-3092.875244,-195.5443573,873.5432129,-3081.688232,-137.0513,859.1948242,-3067.025391,-119.9002457,872.7224121,-3056.063232,-59.36870956,877.9334106,-3038.473145,-72.48680115,859.5678101,-3068.360596,-171.0548248,693.2544556,-2953.037598,-161.2226105,728.8864746,-2986.579102,-209.8256378,731.1394043,-2998.111572,-219.4688873,695.4117432,-2964.6875
60,-187.8591461,846.197876,-3092.866455,-195.5450592,873.5444946,-3081.696045,-137.0545502,859.2008057,-3067.037842,-119.901886,872.7250366,-3056.082031,-59.36709595,877.9366455,-3038.484863,-72.48471069,859.5617065,-3068.345947,-171.0546722,693.1449585,-2953.088867,-161.2244568,728.7976074,-2986.619873,-209.8252411,731.0593872,-2998.123779,-219.4701233,695.3198242,-2964.721924
61,-187.8596954,846.2036743,-3092.888916,-195.5450745,873.5449219,-3081.698242,-137.0581512,859.1977539,-3067.043945,-119.9015884,872.7245483,-3056.080322,-59.36582184,877.9343872,-3038.478516,-72.49013519,859.5679321,-3068.364746,-171.0580444,693.0356445,-2953.121826,-161.2286072,728.706604,-2986.654053,-209.8298798,730.9890747,-2998.136719,-219.4771576,695.2363281,-2964.751465
62,-187.8614502,846.2062988,-3092.890381,-195.5467682,873.5491943,-3081.717773,-137.0610504,859.1936035,-3067.039795,-119.906456,872.7241821,-3056.080566,-59.36789322,877.9362793,-3038.484619,-72.48948669,859.5640869,-3068.357422,-171.0745087,692.9576416,-2953.144531,-161.2422333,728.6381836,-2986.681641,-209.8448181,730.9346924,-2998.131104,-219.4933167,695.173645,-2964.757324
63,-187.8592987,846.203186,-3092.884277,-195.5457306,873.5471191,-3081.700928,-137.0584717,859.1904297,-3067.03418,-119.9041138,872.7249756,-3056.07959,-59.3658638,877.9347534,-3038.474365,-72.49079895,859.5651855,-3068.364014,-171.1074219,692.9210205,-2953.17334,-161.2664032,728.6029663,-2986.68457,-209.8703003,730.9040527,-2998.143066,-219.5245361,695.1381226,-2964.773438
64,-187.8644104,846.2072754,-3092.884521,-195.5457611,873.5456543,-3081.695801,-137.0617371,859.1906128,-3067.031738,-119.9038086,872.7271729,-3056.08667,-59.3644104,877.9366455,-3038.482422,-72.48978424,859.5714722,-3068.37915,-171.149765,692.9034424,-2953.178223,-161.3019104,728.586853,-2986.683105,-209.8978271,730.8878784,-2998.163818,-219.5623169,695.1196899,-2964.79834
